SEQN,Gender,Age,Race,Month of Exam,Active Duty,Deployed,Birth Country,Citizenship,TimeUS,EduKids,EduAdult,Marital Status,Language,NumbHH,HH Gender,HH Age,HH Edu,HH Marital,HH Sp Edu,Int Weight,MEC Weight,AHH Income,FAM Income
102625,1,33,7,2,2,0,1,1,0,0,5,1,1,2,2,2,3,1,3,21900.75612,21027.96206,15,15
102626,1,46,1,1,2,0,2,1,7,0,4,1,1,5,1,3,2,1,2,31020.23369,32544.78203,8,8
102627,2,11,3,1,0,0,1,1,0,5,0,0,1,4,1,3,2,1,2,33648.01935,35941.40314,14,14
102628,2,69,3,2,2,0,1,1,0,0,5,2,1,1,2,4,3,2,0,254885.3507,272498.8887,14,14
102629,2,73,2,2,2,0,2,1,3,0,1,5,2,4,1,3,2,1,2,32776.72021,35201.16788,7,7
102630,1,2,7,2,0,0,1,1,0,0,0,0,1,6,1,2,2,1,0,9503.383267,12660.8711,6,6
102631,1,22,4,2,2,0,1,1,0,0,4,5,1,2,2,3,0,3,0,26895.19225,33490.12973,14,14
102632,1,17,4,1,2,0,1,1,0,11,0,0,1,5,1,3,3,1,3,41934.58353,43992.79247,15,15
102633,2,41,2,2,2,0,1,1,0,0,2,4,2,4,2,3,1,2,0,15488.67234,14923.93193,13,13
102634,1,80,3,1,1,2,1,1,0,0,4,1,1,2,1,4,2,1,2,23613.27302,27533.50985,10,10
102635,2,40,6,2,2,0,2,1,6,0,5,1,1,3,1,3,3,1,3,12355.82467,13769.39616,15,15
102636,1,18,6,1,2,0,2,2,1,10,0,0,1,4,1,3,2,1,2,16423.61876,16759.45805,2,2
102637,1,64,4,1,2,0,1,1,0,0,5,1,1,2,1,4,3,1,2,5806.527629,6162.882054,9,9
102638,2,26,3,1,2,0,1,1,0,0,5,5,1,1,2,2,3,3,0,129719.8581,128054.1158,7,7
102639,1,7,3,2,0,0,1,1,0,1,0,0,1,4,2,2,2,1,0,18865.70692,19783.00745,7,7
102640,2,11,4,2,0,0,1,1,0,5,0,0,1,3,2,2,3,1,2,13810.00193,16675.32603,15,15
102641,1,34,3,1,2,0,1,1,0,0,3,1,1,4,1,2,1,3,0,46952.90458,54215.69167,5,5
102642,2,44,6,2,2,0,2,1,5,0,5,1,1,4,1,3,3,1,3,26338.93731,26959.4858,15,15
102643,1,7,3,2,0,0,1,1,0,1,0,0,1,5,2,3,3,1,3,58177.46426,73905.73914,15,15
102644,1,53,3,2,2,0,1,1,0,0,3,1,1,3,1,3,2,1,2,138812.074,142549.0196,15,15
102645,2,12,7,2,0,0,1,1,0,6,0,0,1,5,2,4,2,2,0,12231.62174,12643.4115,8,8
102646,2,11,4,2,0,0,1,1,0,5,0,0,1,6,2,2,1,2,0,22034.95362,22685.76177,6,6
102647,2,8,4,1,0,0,1,1,0,2,0,0,1,3,1,4,0,1,2,15610.19975,16580.38865,5,5
102648,1,33,4,1,2,0,1,1,0,0,4,5,1,4,1,4,3,3,0,18809.43392,20684.70286,7,7
102649,1,57,4,2,2,0,1,1,0,0,3,1,1,2,1,3,2,1,1,19224.46673,18902.35434,77,77
102650,2,66,3,2,2,0,1,1,0,0,4,2,1,1,2,4,2,2,0,52588.3151,68180.76032,14,14
102651,2,71,3,1,2,0,1,1,0,0,5,1,1,2,1,4,3,1,3,125883.8534,131495.3016,15,15
102652,1,13,4,1,0,0,1,1,0,6,0,0,1,4,2,3,2,2,0,12158.32891,12222.09795,13,13
102653,2,25,2,2,2,0,1,1,0,0,5,5,1,4,2,4,1,2,0,89349.09595,86149.55742,15,15
102654,1,5,1,1,0,0,1,1,0,0,0,0,1,5,2,2,2,1,1,38794.69678,45051.49558,14,14
102655,1,21,2,1,2,0,1,1,0,0,3,5,1,4,1,3,0,1,3,56742.55334,60583.51188,0,0
102656,2,36,6,2,2,0,2,2,4,0,5,1,1,4,1,3,3,1,3,15859.79636,15696.78045,8,8
102657,2,68,3,2,2,0,1,1,0,0,4,1,1,3,2,4,2,1,2,163281.6993,163857.5147,14,14
102658,1,9,3,2,0,0,1,1,0,3,0,0,1,5,2,3,3,1,2,76922.62901,84180.33974,15,15
102659,2,80,1,1,2,0,2,2,6,0,4,2,1,1,2,4,2,2,0,17723.77164,18359.47909,2,2
102660,2,19,1,1,2,0,1,1,0,15,0,0,1,4,2,2,2,3,0,31523.7613,34214.99552,8,4
102661,2,59,3,1,2,0,1,1,0,0,4,1,1,2,1,4,2,1,2,250172.8347,245535.954,8,8
102662,2,12,3,1,0,0,1,1,0,6,0,0,1,5,2,3,3,1,2,71742.67568,73360.0159,15,15
102663,1,4,3,2,0,0,1,1,0,0,0,0,1,7,1,3,2,1,3,29338.58053,31044.27104,14,14
102664,1,51,6,2,2,0,2,1,4,0,2,6,1,4,1,3,1,1,1,23648.7528,26267.3303,10,10
102665,1,80,3,1,1,2,1,1,0,0,4,5,1,1,1,4,2,3,0,12590.84155,14113.97677,10,10
102666,2,44,3,2,2,0,1,1,0,0,5,3,1,2,2,3,3,2,0,122244.944,121635.6697,8,8
102667,1,50,1,1,2,0,2,2,7,0,1,1,2,5,1,3,1,1,1,23010.80734,25235.49192,8,8
102668,2,39,3,2,2,0,1,1,0,0,4,6,1,4,1,2,2,1,0,31253.83254,30459.60233,4,4
102669,1,32,4,1,2,0,1,1,0,0,3,5,1,5,1,2,2,3,0,22663.25106,22896.65758,99,99
102670,2,0,2,1,0,0,1,1,0,0,0,0,1,7,1,2,1,1,1,8622.954829,8875.459406,6,6
102671,1,80,3,1,1,2,1,1,0,0,5,3,1,1,1,4,3,2,0,36777.68925,41610.35013,15,15
102672,2,21,4,2,2,0,1,1,0,0,5,5,1,3,1,4,3,1,3,38040.7283,42355.29602,15,15
102673,2,47,6,1,2,0,2,1,4,0,5,1,1,2,1,3,3,1,3,14484.65155,16010.9924,8,8
102674,1,26,3,2,1,2,1,1,0,0,4,1,1,2,1,2,2,1,3,91886.47095,99421.49317,7,7
102675,1,22,4,2,2,0,2,2,2,0,4,6,1,3,2,2,3,3,0,53774.60011,55226.65809,14,3
102676,1,22,7,1,2,0,1,1,0,0,3,5,1,5,1,3,2,1,2,21959.92421,21809.82456,15,15
102677,1,60,3,2,2,0,1,1,0,0,1,3,1,2,1,4,2,3,0,24249.96946,24796.52085,6,6
102678,1,6,7,1,0,0,1,1,0,0,0,0,1,7,2,2,2,1,2,12800.82526,13846.82705,9,9
102679,1,80,3,2,1,2,1,1,0,0,4,1,1,3,2,4,3,1,2,8802.453106,10522.6068,14,14
102680,1,80,3,2,1,2,1,1,0,0,3,1,1,2,1,4,2,1,2,18340.2209,20075.37606,6,6
102681,1,3,1,0,0,0,1,1,0,0,0,0,1,4,2,2,2,2,0,16111.18349,0,4,4
102682,2,33,6,1,2,0,2,1,4,0,5,1,1,5,1,2,2,1,3,19226.47781,19023.12305,7,7
102683,1,65,1,2,2,0,2,1,5,0,1,1,2,6,2,2,2,1,0,5738.471465,5720.081877,6,6
102684,1,34,6,2,2,0,2,2,2,0,5,1,1,2,2,2,3,1,3,16113.50445,18967.5924,77,77
102685,1,39,3,1,2,0,1,1,0,0,4,6,1,5,1,2,2,1,0,24098.81344,24113.4263,4,4
102686,2,51,3,1,2,0,1,1,0,0,4,3,1,4,2,3,2,2,0,35511.11005,35814.42594,5,5
102687,2,64,4,2,2,0,1,1,0,0,4,1,1,4,1,4,0,1,2,6426.313841,6199.661511,9,9
102688,2,53,3,2,2,0,1,1,0,0,4,1,1,2,1,3,2,1,2,27136.64241,26294.39409,3,3
102689,1,24,3,2,2,0,1,1,0,0,4,1,1,4,1,2,2,1,2,40412.30253,43563.92058,6,6
102690,1,9,4,2,0,0,1,1,0,3,0,0,1,4,2,3,3,2,0,9332.078165,10011.88033,12,6
102691,2,8,3,2,0,0,1,1,0,3,0,0,1,5,2,2,2,1,2,15572.69512,17021.6842,6,6
102692,1,12,3,1,0,0,1,1,0,5,0,0,1,5,2,3,2,1,2,13894.81294,13912.51658,14,14
102693,2,7,2,2,0,0,1,1,0,1,0,0,1,5,1,3,3,1,2,13964.98449,13808.01018,14,14
102694,2,55,3,2,2,0,1,1,0,0,4,3,1,1,2,3,2,2,0,55768.1675,60615.42585,4,4
102695,2,14,7,1,0,0,1,1,0,7,0,0,1,5,1,3,1,1,1,21503.16301,21921.64978,4,4
102696,1,67,4,1,1,1,1,1,0,0,4,1,2,5,1,4,2,1,2,17066.84027,18520.61365,12,14
102697,1,75,4,2,2,0,1,1,0,0,3,1,1,2,1,4,2,1,2,9513.621942,9072.698978,15,15
102698,1,14,2,2,0,0,1,1,0,8,0,0,1,7,2,2,2,2,0,36132.21128,38325.77126,7,7
102699,1,12,6,1,0,0,1,1,0,7,0,0,1,2,2,3,3,3,0,11895.45439,11935.43798,15,15
102700,1,24,2,0,2,0,2,2,1,0,4,5,1,4,1,3,2,1,3,41834.11937,0,14,14
102701,2,61,3,2,2,0,1,1,0,0,3,3,1,1,2,4,2,2,0,385796.6037,378202.7768,7,7
102702,1,75,3,2,1,2,1,1,0,0,4,1,1,2,1,4,2,1,2,47589.94171,53307.52291,6,6
102703,2,12,1,1,0,0,1,1,0,6,0,0,2,4,1,3,0,1,1,18267.65557,18771.34457,6,6
102704,2,52,3,2,2,0,1,1,0,0,4,1,1,2,2,3,2,1,2,86291.48695,103433.2482,7,7
102705,2,17,3,2,2,0,1,1,0,10,0,0,1,5,1,4,2,1,2,28452.05279,28577.42124,7,7
102706,1,40,6,2,2,0,2,1,4,0,5,1,1,5,1,3,3,1,3,17917.24575,19243.78741,15,15
102707,1,27,3,2,2,0,1,1,0,0,3,1,1,4,1,2,2,1,2,67311.5983,71118.58376,4,4
102708,1,80,3,2,1,2,1,1,0,0,4,1,1,2,2,4,2,1,2,15906.10476,17101.66103,7,7
102709,1,17,2,2,2,0,2,2,2,10,0,0,2,3,2,2,1,3,0,27262.1811,35710.07333,3,3
102710,2,73,3,2,2,0,1,1,0,0,4,2,1,2,2,4,2,2,0,17160.71914,23979.86013,2,2
102711,1,2,3,2,0,0,1,1,0,0,0,0,1,6,2,2,0,3,0,22188.98022,23123.14989,13,13
102712,2,8,7,1,0,0,1,1,0,1,0,0,1,7,2,3,2,1,2,6476.23355,6655.580921,77,77
102713,2,23,4,2,2,0,1,1,0,0,4,6,1,4,1,4,1,1,2,20179.58615,21932.31903,7,1
102714,1,14,1,1,0,0,1,1,0,66,0,0,2,5,1,2,1,1,1,32953.09247,34423.88023,7,7
102715,2,7,2,2,0,0,1,1,0,1,0,0,1,6,1,2,0,1,2,19275.4825,19484.26756,0,0
102716,1,13,2,2,0,0,1,1,0,6,0,0,1,5,1,3,3,1,2,19550.79544,20031.19922,14,14
102717,2,65,4,0,2,0,1,1,0,0,3,2,1,1,2,4,2,2,0,15423.3417,0,5,5
102718,1,20,1,1,2,0,2,2,4,0,2,1,1,4,2,2,2,1,1,22002.40491,22835.68002,7,7
102719,2,13,3,0,0,0,1,1,0,6,0,0,1,4,2,3,2,2,0,75658.11984,0,14,10
102720,1,59,3,2,1,2,1,1,0,0,4,1,1,2,1,3,2,1,0,130824.6729,138654.8558,14,14
102721,2,53,2,2,2,0,2,1,3,0,2,1,2,2,2,3,1,1,0,26119.58674,28303.6339,4,2
102722,2,62,1,1,2,0,2,1,8,0,1,4,2,6,1,4,1,2,0,5238.89511,5175.58357,4,4
102723,2,63,6,1,2,0,2,1,7,0,3,3,1,2,2,4,2,2,0,12743.40438,13532.63535,3,3
102724,1,43,1,2,2,0,2,2,5,0,2,3,2,1,1,3,1,2,0,24113.34937,24900.23759,6,6
102725,2,16,3,1,0,0,1,1,0,10,0,0,1,5,1,4,1,2,0,20797.61426,20889.25491,6,6
102726,1,62,4,1,2,0,1,1,0,0,3,1,1,7,1,4,2,1,2,7042.24818,7446.067954,7,7
102727,1,8,2,2,0,0,1,1,0,2,0,0,2,6,2,3,1,1,0,33893.51387,34639.01506,99,99
102728,1,16,3,2,0,0,1,1,0,11,0,0,1,5,2,3,2,1,2,29262.57701,29322.26891,14,14
102729,2,61,3,2,2,0,1,1,0,0,4,6,1,2,1,4,2,1,0,55034.28325,71351.95848,7,4
102730,1,54,6,1,2,0,2,1,6,0,4,1,1,3,2,3,2,1,2,9985.941504,10346.82641,7,7
102731,1,80,3,2,1,2,1,1,0,0,5,3,1,1,1,4,3,2,0,10932.88637,12040.25642,3,3
102732,1,70,3,2,1,1,1,1,0,0,5,3,1,1,1,4,3,2,0,9598.010712,10484.07354,5,5
102733,1,61,4,2,2,0,1,1,0,0,1,6,1,2,1,4,1,1,0,9821.050241,9912.506031,0,0
102734,2,12,4,1,0,0,2,2,2,5,0,0,1,4,1,3,1,1,1,19811.24886,20236.47986,7,7
102735,2,17,4,2,2,0,1,1,0,13,0,0,1,6,1,2,2,1,0,14629.28472,15444.32699,6,6
102736,1,1,6,0,0,0,1,1,0,0,0,0,1,4,2,3,3,1,3,10234.31883,0,15,15
102737,2,50,3,1,2,0,1,1,0,0,4,1,1,3,1,3,2,1,2,39409.3407,39712.40318,7,7
